seg_type,seg_length,ref_point.x,ref_point.y,init_tan_angle,curvature,max_v,max_w,min_v,min_w,accel_limit,decel_limit
1,.2,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,.4,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,.6,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,.8,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,1.0,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,1.2,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,1.4,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,1.6,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,1.8,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,2.0,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5
1,2.2,8.42,15.09,-2.46,0,.25,0,0,0,.25,-.5